pair,year,a,b,c,d,label
ABEMACICLIB|ABDOMINAL DISCOMFORT,2024,5,235,1876,450122,1
ABEMACICLIB|ABDOMINAL DISCOMFORT,2025,15,1177,7948,1549989,1
ABEMACICLIB|ABDOMINAL DISTENSION,2024,3,237,1207,450791,1
ABEMACICLIB|ABDOMINAL DISTENSION,2025,15,1177,2967,1554970,1
ABEMACICLIB|ABDOMINAL PAIN,2024,3,237,865,451133,0
ABEMACICLIB|ABDOMINAL PAIN,2025,0,1192,5636,1552301,0
ABEMACICLIB|ABDOMINAL PAIN UPPER,2024,3,237,1457,450541,1
ABEMACICLIB|ABDOMINAL PAIN UPPER,2025,21,1171,5781,1552156,1
ABEMACICLIB|ALOPECIA,2024,5,235,1723,450275,1
ABEMACICLIB|ALOPECIA,2025,15,1177,7502,1550435,1
ABEMACICLIB|ANAEMIA,2024,5,235,913,451085,0
ABEMACICLIB|ANAEMIA,2025,2,1190,3208,1554729,0
ABEMACICLIB|ANGER,2024,3,237,38,451960,0
ABEMACICLIB|ANGER,2025,0,1192,165,1557772,0
ABEMACICLIB|ANXIETY,2024,8,232,1743,450255,1
ABEMACICLIB|ANXIETY,2025,17,1175,6052,1551885,1
ABEMACICLIB|APATHY,2024,3,237,10,451988,1
ABEMACICLIB|APATHY,2025,15,1177,165,1557772,1
ABEMACICLIB|ASPHYXIA,2024,5,235,76,451922,0
ABEMACICLIB|ASPHYXIA,2025,0,1192,34,1557903,0
ABEMACICLIB|ASTHENIA,2024,8,232,1852,450146,0
ABEMACICLIB|ASTHENIA,2025,8,1184,9070,1548867,0
ABEMACICLIB|BRONCHITIS,2024,5,235,1232,450766,0
ABEMACICLIB|BRONCHITIS,2025,0,1192,950,1556987,0
ABEMACICLIB|CARPAL TUNNEL SYNDROME,2024,5,235,13,451985,0
ABEMACICLIB|CARPAL TUNNEL SYNDROME,2025,0,1192,160,1557777,0
ABEMACICLIB|COMPLICATION ASSOCIATED WITH DEVICE,2024,3,237,46,451952,0
ABEMACICLIB|COMPLICATION ASSOCIATED WITH DEVICE,2025,0,1192,106,1557831,0
ABEMACICLIB|CONSTIPATION,2024,5,235,748,451250,0
ABEMACICLIB|CONSTIPATION,2025,0,1192,4940,1552997,0
ABEMACICLIB|DECREASED IMMUNE RESPONSIVENESS,2024,5,235,213,451785,1
ABEMACICLIB|DECREASED IMMUNE RESPONSIVENESS,2025,6,1186,84,1557853,1
ABEMACICLIB|DEPRESSED MOOD,2024,3,237,171,451827,1
ABEMACICLIB|DEPRESSED MOOD,2025,17,1175,613,1557324,1
ABEMACICLIB|DIARRHOEA,2024,8,232,3037,448961,1
ABEMACICLIB|DIARRHOEA,2025,50,1142,13248,1544689,1
ABEMACICLIB|DISCOMFORT,2024,5,235,1541,450457,0
ABEMACICLIB|DISCOMFORT,2025,0,1192,4924,1553013,0
ABEMACICLIB|DYSPNOEA,2024,5,235,2665,449333,0
ABEMACICLIB|DYSPNOEA,2025,0,1192,12954,1544983,0
ABEMACICLIB|FATIGUE,2024,8,232,4297,447701,1
ABEMACICLIB|FATIGUE,2025,28,1164,15603,1542334,1
ABEMACICLIB|FEEDING DISORDER,2024,5,235,26,451972,0
ABEMACICLIB|FEEDING DISORDER,2025,0,1192,395,1557542,0
ABEMACICLIB|FEELING HOT,2024,5,235,367,451631,0
ABEMACICLIB|FEELING HOT,2025,0,1192,2699,1555238,0
ABEMACICLIB|FLUID RETENTION,2024,5,235,195,451803,0
ABEMACICLIB|FLUID RETENTION,2025,0,1192,1119,1556818,0
ABEMACICLIB|GASTROINTESTINAL DISORDER,2024,3,237,1618,450380,0
ABEMACICLIB|GASTROINTESTINAL DISORDER,2025,0,1192,6315,1551622,0
ABEMACICLIB|HEART RATE INCREASED,2024,5,235,170,451828,0
ABEMACICLIB|HEART RATE INCREASED,2025,0,1192,1054,1556883,0
ABEMACICLIB|HOT FLUSH,2024,5,235,113,451885,0
ABEMACICLIB|HOT FLUSH,2025,1,1191,691,1557246,0
ABEMACICLIB|HUNGER,2024,3,237,15,451983,1
ABEMACICLIB|HUNGER,2025,15,1177,98,1557839,1
ABEMACICLIB|HYPERTHYROIDISM,2024,5,235,51,451947,0
ABEMACICLIB|HYPERTHYROIDISM,2025,0,1192,100,1557837,0
ABEMACICLIB|HYPOTHYROIDISM,2024,5,235,220,451778,0
ABEMACICLIB|HYPOTHYROIDISM,2025,0,1192,805,1557132,0
